utility_name,year,month,zip_code,number_of_disconnections,disconnection_rate
Pacific Gas and Electric Company ,2024,Jan,93203,17,0.33%
Pacific Gas and Electric Company ,2024,Jan,93204,5,0.19%
Pacific Gas and Electric Company ,2024,Jan,93206,1,0.19%
Pacific Gas and Electric Company ,2024,Jan,93210,4,0.09%
Pacific Gas and Electric Company ,2024,Jan,93212,11,0.25%
Pacific Gas and Electric Company ,2024,Jan,93224,2,1.45%
Pacific Gas and Electric Company ,2024,Jan,93230,2,0.21%
Pacific Gas and Electric Company ,2024,Jan,93234,3,0.17%
Pacific Gas and Electric Company ,2024,Jan,93239,3,0.77%
Pacific Gas and Electric Company ,2024,Jan,93241,7,0.20%
Pacific Gas and Electric Company ,2024,Jan,93242,1,0.10%
Pacific Gas and Electric Company ,2024,Jan,93243,2,0.44%
Pacific Gas and Electric Company ,2024,Jan,93245,10,0.09%
Pacific Gas and Electric Company ,2024,Jan,93249,4,0.63%
Pacific Gas and Electric Company ,2024,Jan,93250,8,0.29%
Pacific Gas and Electric Company ,2024,Jan,93254,1,0.32%
Pacific Gas and Electric Company ,2024,Jan,93263,16,0.22%
Pacific Gas and Electric Company ,2024,Jan,93268,18,0.31%
Pacific Gas and Electric Company ,2024,Jan,93280,21,0.31%
Pacific Gas and Electric Company ,2024,Jan,93301,19,0.31%
Pacific Gas and Electric Company ,2024,Jan,93304,71,0.44%
Pacific Gas and Electric Company ,2024,Jan,93305,16,0.14%
Pacific Gas and Electric Company ,2024,Jan,93306,28,0.12%
Pacific Gas and Electric Company ,2024,Jan,93307,109,0.46%
Pacific Gas and Electric Company ,2024,Jan,93308,52,0.26%
Pacific Gas and Electric Company ,2024,Jan,93309,102,0.44%
Pacific Gas and Electric Company ,2024,Jan,93311,45,0.24%
Pacific Gas and Electric Company ,2024,Jan,93312,36,0.18%
Pacific Gas and Electric Company ,2024,Jan,93313,64,0.37%
Pacific Gas and Electric Company ,2024,Jan,93314,15,0.13%
Pacific Gas and Electric Company ,2024,Jan,93401,4,0.03%
Pacific Gas and Electric Company ,2024,Jan,93405,6,0.07%
Pacific Gas and Electric Company ,2024,Jan,93422,10,0.08%
Pacific Gas and Electric Company ,2024,Jan,93426,1,0.09%
Pacific Gas and Electric Company ,2024,Jan,93430,3,0.13%
Pacific Gas and Electric Company ,2024,Jan,93432,1,0.14%
Pacific Gas and Electric Company ,2024,Jan,93433,10,0.18%
Pacific Gas and Electric Company ,2024,Jan,93436,5,0.11%
Pacific Gas and Electric Company ,2024,Jan,93442,1,0.02%
Pacific Gas and Electric Company ,2024,Jan,93444,3,0.04%
Pacific Gas and Electric Company ,2024,Jan,93445,6,0.24%
Pacific Gas and Electric Company ,2024,Jan,93446,8,0.04%
Pacific Gas and Electric Company ,2024,Jan,93451,6,0.35%
Pacific Gas and Electric Company ,2024,Jan,93453,1,0.08%
Pacific Gas and Electric Company ,2024,Jan,93454,16,0.13%
Pacific Gas and Electric Company ,2024,Jan,93455,13,0.08%
Pacific Gas and Electric Company ,2024,Jan,93458,28,0.22%
Pacific Gas and Electric Company ,2024,Jan,93460,2,0.09%
Pacific Gas and Electric Company ,2024,Jan,93463,3,0.09%
Pacific Gas and Electric Company ,2024,Jan,93465,1,0.03%
Pacific Gas and Electric Company ,2024,Jan,93555,2,0.02%
Pacific Gas and Electric Company ,2024,Jan,93601,1,0.11%
Pacific Gas and Electric Company ,2024,Jan,93602,1,0.06%
Pacific Gas and Electric Company ,2024,Jan,93608,1,0.33%
Pacific Gas and Electric Company ,2024,Jan,93609,7,0.47%
Pacific Gas and Electric Company ,2024,Jan,93610,7,0.12%
Pacific Gas and Electric Company ,2024,Jan,93611,27,0.16%
Pacific Gas and Electric Company ,2024,Jan,93612,47,0.30%
Pacific Gas and Electric Company ,2024,Jan,93614,2,0.04%
Pacific Gas and Electric Company ,2024,Jan,93616,1,0.15%
Pacific Gas and Electric Company ,2024,Jan,93619,15,0.09%
Pacific Gas and Electric Company ,2024,Jan,93620,6,0.19%
Pacific Gas and Electric Company ,2024,Jan,93621,1,0.32%
Pacific Gas and Electric Company ,2024,Jan,93622,9,0.33%
Pacific Gas and Electric Company ,2024,Jan,93625,5,0.17%
Pacific Gas and Electric Company ,2024,Jan,93626,4,0.42%
Pacific Gas and Electric Company ,2024,Jan,93630,9,0.14%
Pacific Gas and Electric Company ,2024,Jan,93631,5,0.08%
Pacific Gas and Electric Company ,2024,Jan,93635,14,0.09%
Pacific Gas and Electric Company ,2024,Jan,93636,9,0.13%
